file,line,detail
ring_buf.h,270,succeed,task_id,123,predecessor_cnt,4,predecessor_id,11,idx,11
ring_buf.h,227,new,task_id,123, type,1
ring_buf.h,270,succeed,task_id,124,predecessor_cnt,2,predecessor_id,123,idx,0
ring_buf.h,227,new,task_id,124, type,0
ring_buf.h,270,succeed,task_id,125,predecessor_cnt,2,predecessor_id,124,idx,0
ring_buf.h,227,new,task_id,125, type,1
ring_buf.h,270,succeed,task_id,126,predecessor_cnt,2,predecessor_id,123,idx,1
ring_buf.h,270,succeed,task_id,126,predecessor_cnt,3,predecessor_id,125,idx,0
ring_buf.h,227,new,task_id,126, type,0
ring_buf.h,270,succeed,task_id,127,predecessor_cnt,2,predecessor_id,126,idx,0
ring_buf.h,270,succeed,task_id,127,predecessor_cnt,3,predecessor_id,125,idx,1
ring_buf.h,227,new,task_id,127, type,1
ring_buf.h,270,succeed,task_id,128,predecessor_cnt,2,predecessor_id,12,idx,12
ring_buf.h,270,succeed,task_id,128,predecessor_cnt,3,predecessor_id,9,idx,12
ring_buf.h,270,succeed,task_id,128,predecessor_cnt,4,predecessor_id,11,idx,12
ring_buf.h,227,new,task_id,128, type,1
ring_buf.h,270,succeed,task_id,129,predecessor_cnt,2,predecessor_id,128,idx,0
ring_buf.h,227,new,task_id,129, type,0
ring_buf.h,270,succeed,task_id,130,predecessor_cnt,2,predecessor_id,129,idx,0
ring_buf.h,227,new,task_id,130, type,1
ring_buf.h,270,succeed,task_id,131,predecessor_cnt,2,predecessor_id,128,idx,1
ring_buf.h,270,succeed,task_id,131,predecessor_cnt,3,predecessor_id,130,idx,0
ring_buf.h,227,new,task_id,131, type,0
ring_buf.h,270,succeed,task_id,132,predecessor_cnt,2,predecessor_id,131,idx,0
ring_buf.h,270,succeed,task_id,132,predecessor_cnt,3,predecessor_id,130,idx,1
ring_buf.h,227,new,task_id,132, type,1
ring_buf.h,270,succeed,task_id,133,predecessor_cnt,2,predecessor_id,12,idx,13
ring_buf.h,270,succeed,task_id,133,predecessor_cnt,3,predecessor_id,9,idx,13
ring_buf.h,270,succeed,task_id,133,predecessor_cnt,4,predecessor_id,11,idx,13
ring_buf.h,227,new,task_id,133, type,1
ring_buf.h,270,succeed,task_id,134,predecessor_cnt,2,predecessor_id,133,idx,0
ring_buf.h,227,new,task_id,134, type,0
ring_buf.h,270,succeed,task_id,135,predecessor_cnt,2,predecessor_id,134,idx,0
ring_buf.h,227,new,task_id,135, type,1
ring_buf.h,270,succeed,task_id,136,predecessor_cnt,2,predecessor_id,133,idx,1
ring_buf.h,270,succeed,task_id,136,predecessor_cnt,3,predecessor_id,135,idx,0
ring_buf.h,227,new,task_id,136, type,0
